gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.68,0.088,3.41,3.497,18,0
1.733,0.088,3.414,3.501,15,0
1.788,0.087,3.421,3.508,18,0
1.773,0.088,3.41,3.498,17,0
1.759,0.088,3.413,3.501,15,0
1.73,0.087,3.424,3.511,6,0
1.775,0.087,3.436,3.523,13,0
1.78,0.087,3.434,3.52,13,0
1.736,0.089,3.427,3.516,18,0
1.725,0.089,3.418,3.507,13,0
1.745,0.09,3.408,3.498,17,0
1.708,0.09,3.408,3.498,15,0
1.724,0.089,3.416,3.505,15,0
1.71,0.089,3.415,3.504,10,0
1.743,0.089,3.419,3.507,17,0
1.759,0.089,3.415,3.504,21,0
1.769,0.091,3.402,3.493,16,0
1.76,0.092,3.386,3.478,12,0
1.774,0.092,3.378,3.47,14,0
1.817,0.092,3.38,3.472,19,0
1.757,0.091,3.391,3.483,12,0
1.734,0.092,3.392,3.484,15,0
1.759,0.092,3.387,3.479,14,0
1.735,0.092,3.393,3.485,11,0
1.772,0.092,3.388,3.48,17,0
1.651,0.092,3.39,3.482,18,0
1.666,0.091,3.39,3.481,12,0
1.733,0.091,3.395,3.486,18,0
1.709,0.092,3.388,3.48,19,0
1.729,0.093,3.385,3.478,19,0
1.757,0.093,3.384,3.478,20,0
1.728,0.095,3.372,3.466,18,0
1.769,0.094,3.379,3.472,15,0
1.731,0.094,3.384,3.478,16,0
1.801,0.092,3.398,3.49,17,0
1.759,0.092,3.401,3.493,20,0
1.763,0.093,3.395,3.488,16,0
1.718,0.092,3.411,3.503,18,0
1.75,0.091,3.415,3.507,10,0
1.73,0.091,3.416,3.508,18,0
1.757,0.092,3.41,3.502,22,0
1.741,0.093,3.398,3.491,10,0
1.647,0.093,3.394,3.488,16,0
1.661,0.092,3.402,3.494,12,0
1.794,0.092,3.411,3.503,20,0
1.792,0.092,3.403,3.495,18,0
1.769,0.092,3.405,3.497,10,0
1.736,0.092,3.411,3.503,12,0
1.79,0.091,3.411,3.502,10,0
1.715,0.09,3.422,3.513,12,0
1.808,0.09,3.422,3.512,10,0
1.756,0.09,3.42,3.51,13,0
1.752,0.091,3.416,3.507,20,0
1.759,0.089,3.423,3.513,10,0
1.769,0.088,3.432,3.52,10,0
1.756,0.088,3.431,3.519,12,0
1.778,0.089,3.43,3.519,11,0
1.77,0.088,3.438,3.527,8,0
1.811,0.087,3.459,3.547,18,0
1.799,0.087,3.457,3.544,21,0
1.757,0.09,3.438,3.528,23,0
1.76,0.09,3.437,3.527,10,0
1.73,0.09,3.434,3.524,15,0
1.721,0.091,3.432,3.523,7,0
1.712,0.092,3.422,3.514,13,0
1.71,0.093,3.41,3.504,18,0
1.716,0.094,3.407,3.501,15,0
1.757,0.095,3.401,3.495,20,0
1.761,0.095,3.401,3.495,16,0
1.806,0.095,3.401,3.495,23,0
1.773,0.094,3.397,3.491,12,0
1.832,0.094,3.405,3.498,12,0
1.717,0.094,3.396,3.49,13,0
1.726,0.093,3.387,3.481,16,0
1.777,0.093,3.394,3.487,13,0
1.684,0.092,3.398,3.49,16,0
1.702,0.093,3.393,3.486,13,0
1.719,0.094,3.379,3.474,19,0
1.745,0.094,3.38,3.474,13,0
1.79,0.093,3.38,3.473,14,0
1.763,0.093,3.38,3.472,15,0
1.778,0.092,3.383,3.475,9,0
1.751,0.091,3.388,3.479,8,0
1.748,0.091,3.379,3.47,10,0
1.735,0.091,3.382,3.473,16,0
1.721,0.091,3.379,3.47,11,0
1.779,0.09,3.383,3.474,12,0
1.776,0.09,3.389,3.479,18,0
1.78,0.089,3.403,3.491,20,0
1.754,0.088,3.404,3.492,7,0
1.777,0.087,3.418,3.505,12,0
1.717,0.087,3.419,3.505,17,0
1.712,0.086,3.419,3.505,14,0
1.761,0.087,3.412,3.499,11,0
1.707,0.088,3.404,3.492,15,0
1.76,0.087,3.409,3.496,17,0
1.766,0.086,3.409,3.495,17,0
1.697,0.085,3.424,3.51,21,0
1.714,0.085,3.432,3.517,16,0
1.795,0.083,3.446,3.529,17,0
1.808,0.082,3.45,3.532,17,0
1.817,0.081,3.454,3.536,6,0
1.776,0.083,3.435,3.518,17,0
1.799,0.083,3.433,3.516,15,0
1.743,0.082,3.437,3.519,9,0
1.765,0.082,3.439,3.521,13,0
